ID,Label (description),Category,EcoSIM Other Names,EcoSIM Variable Name,File Name,Definition,Comment,Related Synonyms,Exact Synonyms,Type,DbXrefs,has_units,qualifiers,attributes,measured_ins,measurement_ofs,contexts,value_types,Parents,Group Curated?,Definition Curated?,Definition Source,Comment from Ulas,Comment from Joan,Comment from John-Marc,Comment from Jinyun,Comment from Harry,Comment from Chris
ID,LABEL,SC %,A oio:hasRelatedSynonym SPLIT=|,A oio:hasRelatedSynonym ,A rdfs:comment,A IAO:0000115,A rdfs:comment,A oio:hasRelatedSynonym SPLIT=|,A oio:hasExactSynonym SPLIT=|,TYPE,AI oio:hasDbXref SPLIT=|,A BERVO:has_unit SPLIT=|,AI BERVO:Qualifier SPLIT=|,AI BERVO:Attribute SPLIT=|,AI BERVO:measured_in SPLIT=|,AI BERVO:measurement_of SPLIT=|,AI BERVO:Context SPLIT=|,AI BERVO:has_value_type SPLIT=|,SC % SPLIT=|,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment
BERVO:0000000,Variable,,,,,"An observed or calculated property of a system. In BERVO, variables generally correspond to anything subject to change in an experiment or direct observation of an environment or other natural phenomenon.",root class of ontology,,,Class,,NA,NA,NA,NA,NA,NA,,,Group Curated,Definition Curated,"Definition source - Manual (JHC, Sep 25 2025)",,,,,,
BERVO:0000001,Ecosystem net radiation,Biogeochemical flux variable,,Eco_NetRad_col,EcosimBGCFluxType.txt,"EcoSIM output: The balance between incoming solar shortwave radiation and atmospheric longwave radiation versus reflected shortwave radiation and outgoing longwave radiation from terrestrial surfaces and vegetation. This quantity is fundamental for calculating the energy budget of ecosystems and drives evapotranspiration, photosynthesis, and soil temperature dynamics in Earth system models.",,,,Class,,MJ d-2 h-1,Net,Flux,Atmosphere|Plant,Energy,Ecosystem,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000002,Ecosystem latent heat flux,Ecosystem heat flux,,Eco_Heat_Latent_col,EcosimBGCFluxType.txt,EcoSIM output: The energy transfer associated with water vapor movement from terrestrial surfaces to the atmosphere through evapotranspiration processes. This flux represents a major component of the surface energy balance and is critical for understanding water cycle dynamics and climate feedbacks in Earth system models.,,,,Class,,MJ d-2 h-1,NA,Heat flux,Atmosphere,Heat,Ecosystem,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000003,Ecosystem sensible heat flux,Ecosystem heat flux,,Eco_Heat_Sens_col,EcosimBGCFluxType.txt,EcoSIM output: The direct transfer of thermal energy between the atmosphere and land surface entities including ground surface and vegetation through conduction and convection. This flux component controls air temperature dynamics and atmospheric boundary layer development in environmental modeling studies.,,,,Class,,MJ d-2 h-1,NA,Heat flux,Atmosphere|Soil,Heat,Ecosystem,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000004,Ecosystem storage heat flux,Ecosystem heat flux,,Eco_Heat_GrndSurf_col,EcosimBGCFluxType.txt,"EcoSIM output: The residual energy flux absorbed by the ground calculated by subtracting latent and sensible heat fluxes from net radiation. This flux drives soil temperature changes and affects subsurface thermal dynamics, root zone processes, and permafrost behavior in Earth system models.",,,,Class,,MJ d-2 h-1,NA,Heat flux,Soil,Heat,Ecosystem|Soil,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0001854,Ecosystem heat flux,Biogeochemical flux variable,,,,The transfer of thermal energy between the atmosphere and land surface entities including ground surface and vegetation through conduction and convection.,,,,Class,,MJ d-2 h-1,NA,Heat flux,Soil,Heat,Ecosystem|Soil,Quantitative value,,,,,,,,,,
BERVO:0000005,Cumulative ecosystem gross primary productivity,Biogeochemical flux variable,,Eco_GPP_CumYr_col,EcosimBGCFluxType.txt,EcoSIM output: The total amount of carbon dioxide fixed by photosynthesis from the beginning of the year to the current day. This cumulative measure represents the total carbon uptake capacity of vegetation and is essential for quantifying ecosystem carbon sequestration and productivity in global carbon cycle studies.,,,,Class,,g d-2,Total,Fixation,Plant,Carbon dioxide,Ecosystem,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000006,Cumulative ecosystem autotrophic respiration,Biogeochemical flux variable,,Eco_AutoR_CumYr_col,EcosimBGCFluxType.txt,EcoSIM output: The total carbon dioxide released by plant metabolic processes including maintenance and growth respiration from the beginning of the year to the current day. This cumulative flux represents the carbon cost of plant metabolism and is crucial for calculating net primary productivity in ecosystem carbon budget assessments.,,,,Class,,gC d-2,Total,Respiration,Plant,Carbon,Ecosystem,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000007,Cumulative ecosystem net primary productivity,Biogeochemical flux variable,,Eco_NPP_CumYr_col,EcosimBGCFluxType.txt,"EcoSIM output: The total net carbon accumulation in plant biomass calculated as the difference between gross primary productivity and autotrophic respiration from the beginning of the year to the current day. This measure quantifies the carbon available for plant growth, reproduction, and ecosystem food webs in terrestrial carbon cycle modeling.",,,,Class,,gC d-2,Total|Net,Primary productivity,Plant,Carbon,Ecosystem,Quantitative value,,,,Definition source - Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
